Entity,MVP Field,JSON Path,Type,Unit / Format,Enum / Constraint,Stored or Derived,Target Table,Target Column,Source System,System of Record,Cadence,Status,Decision Ref,Notes
company,proRata,companies[].proRata,boolean,Y/N in CSV,,Stored,company_ownership,pro_rata_rights,Cap table (SharePoint XLSX),Legal docs,Per round,Confirmed,ADR-012,Drives the reserves suggester. Comes from the round documents.
company,riskFlags[],companies[].riskFlags[],array<string>,text,,Stored,company_risk_flag,flag_text,Platform (user entry),Platform,Quarterly,Confirmed,ADR-013,Free text today. Consider a controlled list so alerts can be grouped.
company,fte,companies[].fte,integer,headcount,,Stored,company_kpi,fte,Visible.vc,Visible.vc,Quarterly,Confirmed,ADR-010,RESOLVED (Q6): definition is set in the Visible request wording and accepted as reported. Moves to company_kpi as a quarterly series; request_version stamps the wording that produced each row.
company,fteNB,companies[].fteNB,integer,headcount,<= fte,Stored,company_kpi,fte_nb,Visible.vc,Visible.vc,Quarterly,Confirmed,ADR-010,RESOLVED (Q6): definition is described to portfolio companies in the Visible request; the reported number is displayed as-is. Moves to the quarterly KPI series.
company,fteAtEntry,companies[].fteAtEntry,integer,headcount,,Derived,-,-,Derived (computed),Derived,Static,Confirmed,ADR-002,Derived as the FTE reading nearest first investment date once the series exists. Manual baseline needed for companies predating Visible adoption.
company,womenCSuite,companies[].womenCSuite,integer,count,<= cSuiteSize,Stored,company_kpi,women_csuite,Visible.vc,Visible.vc,Quarterly,To Build,ADR-010,RESOLVED (O-4): NOT collected by Visible today. Being added to the quarterly request (action A-1). NULL until then. CRITICAL: NULL must not render as zero - the tile shows coverage (reported by n of m companies) and excludes non-reporters from the denominator. Decision D-5.
company,cSuiteSize,companies[].cSuiteSize,integer,count,,Stored,company_kpi,csuite_size,Visible.vc,Visible.vc,Quarterly,To Build,ADR-010,"RESOLVED (O-4): not collected today; being added to the Visible request (A-1). Denominator for the diversity KPI. NULL, not zero, until the series begins."
company,board.seat,companies[].board.seat,enum,text,Director|Observer|None,Stored,board_seat,seat_type,Platform (user entry),Platform,On change,Confirmed,ADR-013,
company,board.holder,companies[].board.holder,string,text,,Stored,board_seat,holder_user_id,Platform (user entry),Platform,On change,Confirmed,ADR-013,Free text in MVP. Should FK to app_user once auth exists.
company,board.nextMeeting,companies[].board.nextMeeting,date,YYYY-MM-DD,,Stored,board_seat,next_meeting_date,Platform (user entry),Platform,Per event,Confirmed,ADR-013,Candidate for Outlook/M365 calendar integration later.
company,thresholds.minRunwayMo,companies[].thresholds.minRunwayMo,integer,months,,Stored,company_threshold,min_runway_months,Platform (user entry),Platform,On change,Confirmed,"ADR-013, ADR-032","Drives dashboard alerts. A9: absent now means INHERIT fund_alert_policy; 0 means disabled and the policy does not override it."
company,thresholds.maxBurnMult,companies[].thresholds.maxBurnMult,decimal,multiple,,Stored,company_threshold,max_burn_multiple,Platform (user entry),Platform,On change,Confirmed,"ADR-013, ADR-032","A9 gave it a rule: quarterly net burn / quarterly net new revenue. Stored on 68 of 70 fixture companies and unread until then; giving it a rule added four alerts to the golden master."
company,thresholds.minCashBalance,companies[].thresholds.minCashBalance,decimal,$M,,Stored,company_threshold,min_cash_balance,Platform (user entry),Platform,On change,Confirmed,ADR-032,"A9, schemaVersion 3. An absolute floor, independent of runway - which is AS REPORTED (ADR-027) and can look comfortable on a cash balance that is not."
company,thresholds.maxRevenueDeclinePct,companies[].thresholds.maxRevenueDeclinePct,decimal,percent,,Stored,company_threshold,max_revenue_decline_pct,Platform (user entry),Platform,On change,Confirmed,ADR-032,"A9, schemaVersion 3. Quarter over quarter on the period actual (D-2), not annualised."
company,thresholds.minNrrPct,companies[].thresholds.minNrrPct,decimal,percent,,Stored,company_threshold,min_nrr_pct,Platform (user entry),Platform,On change,Confirmed,ADR-032,"A9, schemaVersion 3. Fires only where the company reports NRR; absent is never read as zero (D-5)."
company,riskFlagDetail,companies[].riskFlagDetail[],object,,,Stored,company_risk_flag,"risk_flag_category_id, note, severity",Platform (user entry),Platform,On change,Confirmed,"ADR-026, ADR-032","A9, schemaVersion 3. The structured half of riskFlags, paired BY INDEX. flag_text stays the verbatim contract string; the category is the resolved key and declares which metric alert the flag stands in for."
company,acknowledgements,companies[].acknowledgements[],object,,,Stored,alert_acknowledgement,"alert_key, reason, until_date, acknowledged_value",Platform (user entry),Platform,On change,Confirmed,ADR-032,"A9, schemaVersion 3. The human judgement about a breach. The breach itself is never stored (ADR-002)."
company,riskGrade,companies[].riskGrade,text,,A / B / C / ACC,Stored,company_state,risk_grade,Affinity,Affinity,Nightly,Confirmed,"ADR-009, ADR-032","A9, schemaVersion 3. Read-only in this platform. The VC team maintains the Risk Assessment in Affinity and the sync is one-way."
company,healthSetBy,companies[].healthSetBy,text,,,Derived,company_state,set_by,Affinity,Affinity,Nightly,Confirmed,ADR-032,"A9, schemaVersion 3. Provenance for the health rating - a rating shown without an author is one nobody can ask about six months later."
company,healthSetAt,companies[].healthSetAt,date,YYYY-MM-DD,,Derived,company_state,set_at,Affinity,Affinity,Nightly,Confirmed,ADR-032,"A9, schemaVersion 3. When the rating last changed, from the dated company_state history."
company,kpis[].nrr,companies[].kpis[].nrr,decimal,percent,,Stored,company_kpi,net_revenue_retention,Visible,Visible,Quarterly,Confirmed,"ADR-010, ADR-032","Column has existed since A1 and only reached the contract at schemaVersion 3, which is why the NRR alert never evaluates against the reference fixture."
fund,alertPolicy,alertPolicy,object,,,Stored,fund_alert_policy,"min_runway_months, max_burn_multiple, min_cash_balance, max_revenue_decline_pct, min_nrr_pct",Platform (user entry),Platform,On change,Confirmed,ADR-032,"A9, schemaVersion 3. Portfolio-wide defaults every company inherits unless it sets its own. Effective-dated, and the export reads it AS AT the reporting date so an issued board pack reproduces."
company,reservesAllocated,companies[].reservesAllocated,decimal,$M,,Stored,reserve_allocation,allocated,Platform (user entry),Platform,On change,Confirmed,ADR-013,Editable in the Modeling tab. Needs an audit trail in production.
company,reservesDeployed,companies[].reservesDeployed,decimal,$M,,Derived,-,-,Derived (computed),Derived,Live,Confirmed,ADR-002,Derive from follow-on transactions against the allocation.
round,company_id,companies[].rounds[] (parent),string,Cnnn,FK,Stored,investment_round,company_id,Finance - transaction registry,Finance,Per round,Confirmed,ADR-011,
round,date,companies[].rounds[].date,date,YYYY-MM-DD,,Stored,investment_round,round_date,Finance - transaction registry,Finance,Per round,To Build,ADR-011,From the transaction registry once built (ADR-011). Interim: Excel bulk upload from Finance.
round,label,companies[].rounds[].label,string,text,"Seed, Series A...",Stored,investment_round,label,Platform (user entry),Platform,Per round,Confirmed,ADR-013,
round,instrument,companies[].rounds[].instrument,enum,text,5 values (INSTRUMENTS),Stored,investment_round,instrument_id,Platform (user entry),Platform,Per round,Confirmed,ADR-013,
round,invested,companies[].rounds[].invested,decimal,$M,,Derived,-,-,Derived (computed),Derived,Live,Confirmed,ADR-002,"Should roll up from transaction rows tagged to the round, not be keyed separately."
round,roundTotal,companies[].rounds[].roundTotal,decimal,$M,>= invested,Stored,investment_round,round_total,Platform (user entry),Platform,Per round,Confirmed,ADR-012,"RESOLVED (Q7): entered by the deal lead at close. NULL = excluded from leverage, never imputed. Coverage monitored via v_mandate_completeness. Historical rounds will have unrecoverable gaps (O-6)."
round,nbOther,companies[].rounds[].nbOther,decimal,$M,<= roundTotal - invested,Stored,investment_round,nb_other,Platform (user entry),Platform,Per round,Confirmed,ADR-012,"RESOLVED (Q7): entered by the deal lead at close, per co-investor with an NB flag, so LP capital-to-direct is derived rather than hand-kept."
round,postMoney,companies[].rounds[].postMoney,decimal,$M,nullable,Stored,investment_round,post_money,Cap table (SharePoint XLSX),Cap table,Per round,Confirmed,ADR-012,Null for SAFE / convertible note by design.
round,ownershipAfter,companies[].rounds[].ownershipAfter,decimal,%,0-100,Stored,investment_round,ownership_after_pct,Platform (user entry),Platform,Per round,Confirmed,ADR-012,RESOLVED (Q7): entered at close from the closing cap table. SharePoint XLSX retained as the linked source document; platform holds the structured value.
round,lead,companies[].rounds[].lead,string,text,'Us' or firm name,Stored,investment_round,lead_investor,Platform (user entry),Platform,Per round,Confirmed,ADR-013,
round,note,companies[].rounds[].note,string,text,,Stored,investment_round,note,Platform (user entry),Platform,Per round,Confirmed,ADR-013,
mark,company_id,companies[].marks[] (parent),string,Cnnn,FK,Stored,valuation_mark,company_id,Finance - FMV exercise,Finance,Semi-annual,Confirmed,ADR-007,
mark,date,companies[].marks[].date,date,YYYY-MM-DD,,Stored,valuation_mark,effective_date,Finance - FMV exercise,Finance,Semi-annual,Confirmed,ADR-007,"RESOLVED (O-1): 31 Jan and 31 Jul ARE the effective dates. Results reach the board two to three months later, so booked_at trails effective_date. Board views carry a 'marks as at / booked' stamp; fund_nav_snapshot.frozen_at fixes issued figures so a re-run never restates a published number."
mark,fmv,companies[].marks[].fmv,decimal,$M,>= 0,Stored,valuation_mark,fmv,Finance - FMV exercise,Finance,Semi-annual,Confirmed,ADR-007,"Only source of company FMV. Effective 31 Jan / 31 Jul. Between cycles the latest final mark carries forward; unmarked companies sit at cost. RESOLVED (O-2): cadence unchanged by this platform, so the 31 Mar year end continues to be served by a 31 Jan mark carried forward two months - labelled, not altered. Decision D-3."
mark,method,companies[].marks[].method,enum,text,Last round | Revenue multiple | Calibrated last round | Scenario-weighted | Write-off | Realized,Stored,valuation_mark,method_id,Finance - FMV exercise,Finance,Semi-annual,Confirmed,ADR-007,Controlled list observed in demo data - confirm against your valuation policy.
mark,by,companies[].marks[].by,string,text,,Stored,valuation_mark,prepared_by,Finance - FMV exercise,Finance,Semi-annual,Confirmed,ADR-007,"RESOLVED (Q8): the Director of Finance enters the mark, and entry IS the sign-off. prepared_by is set from the authenticated Finance user; no separate approval step. supersedes_id preserves any later restatement."
mark,rationale,companies[].marks[].rationale,string,long text,,Stored,valuation_mark,rationale,Finance - FMV exercise,Finance,Semi-annual,Confirmed,ADR-007,The audit narrative. Highest-value field in the model for board scrutiny.
kpi,company_id,companies[].kpis[] (parent),string,Cnnn,FK,Stored,company_kpi,company_id,Visible.vc,Visible.vc,Quarterly,Confirmed,ADR-010,
kpi,period,companies[].kpis[].period,string,YYYY-Qn,,Stored,company_kpi,period_label,Visible.vc,Visible.vc,Quarterly,Confirmed,ADR-006,"RESOLVED (Q1): Visible labels CALENDAR quarters - the 5 Aug 2026 submission is Q2 2026 = Apr-Jun. Fiscal year starts 1 Apr, so that same period is FY2026-27 Q1. Stored as period_start / period_end dates; both labels derived."
kpi,revenue,companies[].kpis[].revenue,decimal,$M run-rate,,Stored,company_kpi,revenue,Visible.vc,Visible.vc,Quarterly,Confirmed,ADR-010,"RESOLVED (O-5 / D-2): Visible supplies the PAST QUARTER'S ACTUAL revenue. Stored and displayed AS REPORTED - no annualisation. Label moves from run-rate to quarterly revenue in the tile, memo prefill and guide. Note the aggregate figure is ~1/4 of the old run-rate presentation, and same-store QoQ now carries seasonality (phase-2 review)."
kpi,burn,companies[].kpis[].burn,decimal,$M / month,negative = CF positive,Stored,company_kpi,monthly_burn,Visible.vc,Visible.vc,Quarterly,Confirmed,ADR-010,"Monthly, not quarterly. Negative renders as 'cash-flow positive'."
kpi,cash,companies[].kpis[].cash,decimal,$M,,Stored,company_kpi,cash_balance,Visible.vc,Visible.vc,Quarterly,Confirmed,ADR-010,
kpi,runwayMo,companies[].kpis[].runwayMo,integer,months,capped at 99,Derived,-,-,Derived (computed),Derived,Quarterly,Confirmed,ADR-002,"cash / burn. Derive rather than accept a reported value, so it is consistent across companies."
milestone,title,companies[].milestones[].title,string,text,,Stored,company_milestone,title,Platform (user entry),Platform,On change,Confirmed,ADR-013,
milestone,due,companies[].milestones[].due,date,YYYY-MM-DD,,Stored,company_milestone,due_date,Platform (user entry),Platform,On change,Confirmed,ADR-013,
milestone,status,companies[].milestones[].status,enum,text,on-track|at-risk|pending,Stored,company_milestone,status,Platform (user entry),Platform,Quarterly,Confirmed,ADR-013,
covenant,text,companies[].covenants[].text,string,text,,Stored,company_covenant,covenant_text,Platform (user entry),Platform,Per round,Confirmed,ADR-013,From the investment documents.
covenant,status,companies[].covenants[].status,enum,text,compliant|watch|breach,Stored,company_covenant,status,Platform (user entry),Platform,Quarterly,Confirmed,ADR-013,Matched by regex in healthAlerts() - make it a real enum.
govFunding,program,companies[].govFunding.program,string,text,nullable object,Stored,company_gov_funding,program_name,Platform (user entry),Platform,On change,Confirmed,ADR-013,"e.g. ACOA, NRC IRAP, provincial programs."
govFunding,amount,companies[].govFunding.amount,decimal,$M,,Stored,company_gov_funding,amount,Platform (user entry),Platform,On change,Confirmed,ADR-013,
govFunding,conditions,companies[].govFunding.conditions,string,long text,,Stored,company_gov_funding,conditions,Platform (user entry),Platform,On change,Confirmed,ADR-013,
govFunding,status,companies[].govFunding.status,enum,text,active|conditions pending|at risk,Stored,company_gov_funding,status,Platform (user entry),Platform,Quarterly,Confirmed,ADR-013,Regex-matched for alerts - make it a real enum.
task,title,companies[].tasks[].title,string,text,,Stored,company_task,title,Platform (user entry),Platform,Ad hoc,Confirmed,ADR-013,
task,due,companies[].tasks[].due,date,YYYY-MM-DD,,Stored,company_task,due_date,Platform (user entry),Platform,Ad hoc,Confirmed,ADR-013,
task,done,companies[].tasks[].done,boolean,true/false,,Stored,company_task,is_done,Platform (user entry),Platform,Ad hoc,Confirmed,ADR-013,Consider whether tasks belong here or in Affinity/Planner.
fundInvestment,id,fundInvestments[].id,string,Fnnn,unique,Stored,fund_investment,fund_investment_id,Platform (user entry),Platform,Static,Confirmed,ADR-013,
fundInvestment,name,fundInvestments[].name,string,text,,Stored,fund_investment,name,Platform (user entry),Platform,Static,Confirmed,ADR-013,
fundInvestment,manager,fundInvestments[].manager,string,text,,Stored,fund_investment,manager_name,Platform (user entry),Platform,Static,Confirmed,ADR-013,Consider a separate gp_firm table if you hold multiple funds per manager.
fundInvestment,strategy,fundInvestments[].strategy,enum,text,free text today,Stored,fund_investment,strategy,Platform (user entry),Platform,Static,Confirmed,ADR-013,Drives the NAV-by-strategy donut. Needs a controlled list.
fundInvestment,vintage,fundInvestments[].vintage,integer,YYYY,,Stored,fund_investment,vintage_year,Platform (user entry),Platform,Static,Confirmed,ADR-013,
fundInvestment,committed,fundInvestments[].committed,decimal,$M,,Stored,fund_investment,committed,Finance - transaction registry,Finance,Static,Confirmed,ADR-011,From the LPA / subscription agreement.
fundInvestment,called,fundInvestments[].called,decimal,$M,<= committed,Derived,-,-,Derived (computed),Derived,Live,Confirmed,ADR-002,Should be SUM of negative cashflows. MVP stores it separately from cashflows[] - same duplication problem.
fundInvestment,distributions,fundInvestments[].distributions,decimal,$M,,Derived,-,-,Derived (computed),Derived,Live,Confirmed,ADR-002,Should be SUM of positive cashflows.
fundInvestment,nav,fundInvestments[].nav,decimal,$M,,Stored,fund_investment_nav,nav,Platform (user entry),GP statement,Quarterly,Confirmed,ADR-013,"From the GP capital account statement, entered manually into fund_investment_nav (dated). statement_received_at tracks the reporting lag so staleness is visible."
fundInvestment,coInvestRights,fundInvestments[].coInvestRights,boolean,Y/N in CSV,,Stored,fund_investment,co_invest_rights,Platform (user entry),Platform,Static,Confirmed,ADR-013,From the side letter / LPA.
fundInvestment,coInvestsDone,fundInvestments[].coInvestsDone,integer,count,,Derived,-,-,Derived (computed),Derived,Live,Confirmed,ADR-002,Count co-investments executed with this GP. Derive by tagging rounds with a co-investor FK.
fundInvestment,referrals,fundInvestments[].referrals,integer,count,,Derived,-,-,Derived (computed),Derived,Live,Confirmed,ADR-002,Count pipeline deals sourced from this fund. Derive from pipeline_deal.referred_by_fund_id.
fundInvestment,capitalToDirect,fundInvestments[].capitalToDirect,decimal,$M,,Derived,-,-,Derived (computed),Derived,Live,Confirmed,ADR-002,MANDATE KPI. Dollars this fund + its network put into our direct portfolio. Derive from round co-investor tags rather than hand-entering.
fundInvestment,womenSeniorGP,fundInvestments[].womenSeniorGP,boolean,Y/N in CSV,,Stored,fund_investment,women_senior_gp,Platform (user entry),Platform,Annual,Confirmed,ADR-013,Diversity KPI. Boolean today - consider a count/total like the C-suite metric.
fundInvestment,nextCallEst,fundInvestments[].nextCallEst,date,YYYY-MM-DD,nullable,Stored,fund_investment,next_call_est,Platform (user entry),GP notice,Per event,Confirmed,ADR-013,Drives commitment-pacing view.
fundInvestment,agm,fundInvestments[].agm,date,YYYY-MM-DD,,Stored,fund_investment,agm_date,Platform (user entry),GP notice,Annual,Confirmed,ADR-013,
fundInvestment,contact,fundInvestments[].contact,string,text,,Stored,fund_investment,ir_contact,Affinity,Affinity,On change,Confirmed,ADR-009,Could come from Affinity if GP contacts are tracked there.
fundInvestment,rationale,fundInvestments[].rationale,string,long text,,Stored,fund_investment,rationale,Platform (user entry),Platform,On change,Confirmed,ADR-013,The 'why we are in this fund' record.
fundCashflow,date,fundInvestments[].cashflows[].date,date,YYYY-MM-DD,,Stored,transaction,txn_date,Finance - transaction registry,Finance,Per event,To Build,ADR-011,RESOLVED (Q4): single transaction table is authoritative. Capital call / distribution notices.
fundCashflow,amount,fundInvestments[].cashflows[].amount,decimal,$M,"neg = call, pos = distribution",Stored,transaction,amount,Finance - transaction registry,Finance,Per event,To Build,ADR-011,RESOLVED (Q4): single transaction table is authoritative. Sign convention is load-bearing for fiIrr(). Document it explicitly in the registry.
pipelineDeal,id,pipeline[].id,string,Pnnn / Annn,unique,Stored,pipeline_deal,deal_id,Affinity,Affinity,Live,Confirmed,ADR-009,Store affinity_opportunity_id as the natural key; keep Pnnn as display id.
pipelineDeal,name,pipeline[].name,string,text,,Stored,pipeline_deal,name,Affinity,Affinity,Live,Confirmed,ADR-009,
pipelineDeal,sector,pipeline[].sector,enum,text,SECTORS,Stored,pipeline_deal,sector_id,Affinity,Affinity,Live,Confirmed,ADR-009,
pipelineDeal,funnel,pipeline[].funnel,enum,text,Sourced|Screening|Diligence|IC Review|Term Sheet|Closed|Passed,Stored,pipeline_deal,funnel_stage_id,Affinity,Affinity,Live,Confirmed,ADR-009,MVP maps Affinity status by keyword regex. Replace with an explicit mapping table you can edit.
pipelineDeal,source,pipeline[].source,string,text,,Stored,pipeline_deal,source_channel_id,Affinity,Affinity,Live,Confirmed,ADR-009,Free text in MVP demo data; controlled list on companies. Align the two.
pipelineDeal,checkSize,pipeline[].checkSize,decimal,$M,,Stored,pipeline_deal,check_size,Affinity,Affinity,Live,Confirmed,ADR-009,Affinity importer divides by 1e6 if value > 100000 - a silent unit heuristic that must be replaced with an explicit unit declaration.
pipelineDeal,valuation,pipeline[].valuation,decimal,$M,nullable,Stored,pipeline_deal,valuation,Affinity,Affinity,Live,Confirmed,ADR-009,Proposed post-money.
pipelineDeal,owner,pipeline[].owner,string,text,,Stored,pipeline_deal,owner_user_id,Affinity,Affinity,Live,Confirmed,ADR-009,Should FK to app_user.
pipelineDeal,nextStep,pipeline[].nextStep,string,text,,Stored,pipeline_deal,next_step,Affinity,Affinity,Live,Confirmed,ADR-009,
pipelineDeal,added,pipeline[].added,date,YYYY-MM-DD,,Stored,pipeline_deal,date_added,Affinity,Affinity,Live,Confirmed,ADR-009,
pipelineDeal,closedDate,pipeline[].closedDate,date,YYYY-MM-DD,optional,Stored,pipeline_deal,closed_date,Affinity,Affinity,Live,Confirmed,ADR-009,Feeds the annual platform target tracker.
dealGate,name,pipeline[].gates[].name,string,text,9 default gates,Stored,deal_gate,gate_name,Platform (user entry),Platform,Live,Confirmed,ADR-009,"Diligence checklist. Platform-owned, not in Affinity."
dealGate,status,pipeline[].gates[].status,enum,text,pending|in-progress|passed|failed,Stored,deal_gate,status,Platform (user entry),Platform,Live,Confirmed,ADR-009,Editable dropdown. Needs who/when audit in production.
termSheet,security,pipeline[].termSheet.security,string,text,nullable object,Stored,term_sheet,security,Platform (user entry),Platform,Per deal,Confirmed,ADR-009,
termSheet,preMoney,pipeline[].termSheet.preMoney,decimal,$M,,Stored,term_sheet,pre_money,Platform (user entry),Platform,Per deal,Confirmed,ADR-009,
termSheet,postMoney,pipeline[].termSheet.postMoney,decimal,$M,,Stored,term_sheet,post_money,Platform (user entry),Platform,Per deal,Confirmed,ADR-009,
termSheet,investment,pipeline[].termSheet.investment,decimal,$M,,Stored,term_sheet,investment,Platform (user entry),Platform,Per deal,Confirmed,ADR-009,
termSheet,ownership,pipeline[].termSheet.ownership,decimal,%,,Stored,term_sheet,ownership_pct,Platform (user entry),Platform,Per deal,Confirmed,ADR-009,
